part_number,name,description
N3250-007,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN125A 6,4 200HV A2A"
N3254-008,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN9021 6,4 100HV A2K"
N3254-004,"WASHER 5,3 Zn","WASHER 5,3 Zn | Notice: DIN9021 5,3 100HV A2K"
N3254-002,"WASHER 4,3 Zn","WASHER 4,3 Zn | Notice: DIN9021 4,3 100HV A2K"
N3262-002,SPRING WASHER 4 Zn,SPRING WASHER 4 Zn | Notice: DIN127B 4 FSt A2A
N4620-001,ACCUMULATOR 12V 17Ah,ACCUMULATOR 12V 17Ah | Notice: CSB GP12170
N4620-012,ACCUMULATOR 12V 20Ah,"ACCUMULATOR 12V 20Ah | Notice: CSB GP12200, tow version"
N5222-001,RECTIFIER REGULATOR,RECTIFIER REGULATOR | Notice: ROTAX 965349
D243001030,"WASHER 6,4x20x6 AL","WASHER 6,4x20x6 AL"
N4620-002,ACCUMULATOR,ACCUMULATOR | Notice: DYNON SV-BAT-320
N3130-001,BOLT M4x12,BOLT M4x12 | Notice: NFE25-129 M4x12 A2
N3227-001,NUT M4 Cd,NUT M4 Cd | Notice: LN 9348-04
N3250-004,"WASHER 4,3 Zn","WASHER 4,3 Zn | Notice: DIN125A 4,3 140HV A2A"
N2926-001,12V PLUG,12V PLUG
N3112-003,BOLT M5x18 Cd,BOLT M5x18 Cd | Notice: LN 9037-05 018
N3227-002,NUT M5 Cd,NUT M5 Cd | Notice: LN 9348-05
N3254-004,"WASHER 5,3 Zn","WASHER 5,3 Zn | Notice: DIN9021 5,3 100HV A2K"
N3112-008,BOLT M6x22 Cd,BOLT M6x22 Cd | Notice: LN 9037-06 022
N3227-003,NUT M6 Cd,NUT M6 Cd | Notice: LN 9348-06
N3250-007,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN125A 6,4 200HV A2A"
N3254-008,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN9021 6,4 100HV A2K"
N2930-002,FUSE,FUSE
N2916-501,ELECTROMAGNETIC RELAY,ELECTROMAGNETIC RELAY
D246003010,COVER,COVER
N3112-008,BOLT M6x22 Cd,BOLT M6x22 Cd | Notice: LN 9037-06 022
N3112-025,BOLT M6x34 Cd,BOLT M6x34 Cd | Notice: LN 9037-06 034
